Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Training Difficulty (1-10),temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years,temperament list,temperament_clean,affection_sociability,energy_activity,trainability,playfulness,protectiveness,independence,calm_stability,confidence_resilience,image_url
Bullmastiff,England,Working,Powerful guardian,6,Large,Low,1.5,With Training,6,Moderate,High,7,"loyal, protective, calm, courageous, affectionate, confident",England,GB,"Large, powerful guardian breed with short coat and calm, confident demeanor, originally bred to guard estates and known as 'The Gamekeeper's Night-Dog'",Working,Developed in mid-19th century England by gamekeepers crossing English Mastiff with Old English Bulldog to create an effective estate guard dog for tracking poachers,"{'id': 'QdwFluBnbf', 'url': 'https://cdn4.thedogapi.com/optimized/QdwFluBnbf.jpg', 'width': 1104, 'height': 960}",45.0,59.0,52.0,61.0,69.0,65.0,7.0,9.0,8.0,"['loyal', ' protective', ' calm', ' courageous', ' affectionate', ' confident']","loyal, protective, calm, courageous, affectionate, confident",1,0,0,0,1,0,1,1,https://cdn4.thedogapi.com/optimized/QdwFluBnbf.jpg
Cairn Terrier,Scotland,Terrier,Weather-resistant coat,8,Small,Moderate,1.5,Yes,7,Moderate,Low,6,"alert, confident, friendly, intelligent, courageous, energetic",Scotland,GB,"A small, sturdy working terrier with weather-resistant shaggy coat and alert expression, originating from the Scottish Highlands and known for its plucky, cheerful nature",Terrier,"Developed on the Isle of Skye in Scotland, one of the oldest terrier breeds. Originally used by farmers in the Scottish Highlands to hunt and flush out foxes and vermin from rock piles (cairns), which gave the breed its name. Recognized by the AKC in 1913.","{'id': 'AEtWWjCcLL', 'url': 'https://cdn4.thedogapi.com/optimized/AEtWWjCcLL.jpg', 'width': 1200, 'height': 896}",6.0,7.5,6.75,24.0,28.0,26.0,,,,"['alert', ' confident', ' friendly', ' intelligent', ' courageous', ' energetic']","alert, confident, friendly, intelligent, courageous, energetic",1,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/AEtWWjCcLL.jpg
Canaan Dog,Israel,Herding,Desert-adapted,6,Medium,Low,2.0,With Training,8,Moderate,Low,8,"alert, intelligent, loyal, independent, protective, confident",Israel,IL,"Medium-sized primitive spitz-type pariah dog with erect ears, wedge-shaped head, and bushy tail carried curled over the back, known for natural survival instincts and versatility as herder and guardian",Herding,"Ancient pariah dog from the land of Canaan that survived for thousands of years in the wild. In the 1930s, Dr. Rudolphina Menzel began redomesticating them for use as guard and service dogs. Recognized by AKC in 1997 and is the national dog of Israel.","{'id': 'ONmucF2QTk', 'url': 'https://cdn4.thedogapi.com/optimized/ONmucF2QTk.jpg', 'width': 1232, 'height': 864}",16.0,25.0,20.5,48.0,61.0,54.5,12.0,15.0,13.5,"['alert', ' intelligent', ' loyal', ' independent', ' protective', ' confident']","alert, intelligent, loyal, independent, protective, confident",0,0,1,0,1,1,0,1,https://cdn4.thedogapi.com/optimized/ONmucF2QTk.jpg
Cane Corso,Italy,Working,Ancient Roman guardian,6,Large,Low,2.0,With Training,7,Low,Moderate,9,"confident, protective, intelligent, loyal, affectionate",Italy,IT,"Large, powerful Italian mastiff-type dog with muscular, athletic build and confident demeanor. This intelligent and majestic breed was historically used as a guardian and hunter, known for its loyalty to family.",Working,"Ancient Italian breed descended from Roman Molossian war dogs, developed as a versatile farmhand, guardian, and hunter of large game. The breed nearly faced extinction but was revived by enthusiasts in the 1970s.","{'id': 'r15m-lc4m', 'url': 'https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg', 'width': 645, 'height': 380}",40.0,50.0,45.0,60.0,70.0,65.0,9.0,12.0,10.5,"['confident', ' protective', ' intelligent', ' loyal', ' affectionate']","confident, protective, intelligent, loyal, affectionate",1,0,1,0,1,0,0,1,https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg
Cardigan Welsh Corgi,Wales,Herding,Long tail unlike Pembroke,8,Small,Moderate,2.0,Yes,8,High,Moderate,6,"affectionate, loyal, intelligent, alert, adaptable","Cardiganshire, Wales",GB,"Low-set, sturdily built herding dog with a long body, fox-like brushy tail, and rounded ears, known for intelligence and versatility",Herding,"One of the oldest herding breeds, believed brought to Wales by Celtic tribes around 1200 BC, developed as versatile farm dogs for cattle herding and property guarding","{'id': 'SyXN-e9NX', 'url': 'https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg', 'width': 800, 'height': 600}",11.0,17.0,14.0,27.0,32.0,29.5,12.0,15.0,13.5,"['affectionate', ' loyal', ' intelligent', ' alert', ' adaptable']","affectionate, loyal, intelligent, alert, adaptable",1,0,1,0,1,0,1,0,https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg
Cavalier King Charles Spaniel,UK,Toy,Ruby colored coat,10,Small,Moderate,1.0,Yes,6,Moderate,High,4,"affectionate, gentle, friendly, playful, eager to please, adaptable",United Kingdom,GB,"Small, elegant toy spaniel with silky coat, large expressive eyes, and noble appearance, known for its gentle expression and affectionate temperament, equally at home as a lap dog or active companion",Toy,"Named after King Charles II who favored the breed, descended from toy spaniels depicted in 16th-18th century British court paintings. The modern breed was revived in the 1920s by enthusiasts seeking to restore the longer-nosed type seen in old portraits","{'id': 'fM3yF6cLB1', 'url': 'https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg', 'width': 1216, 'height': 880}",6.0,8.0,7.0,30.0,33.0,31.5,12.0,15.0,13.5,"['affectionate', ' gentle', ' friendly', ' playful', ' eager to please', ' adaptable']","affectionate, gentle, friendly, playful, eager to please, adaptable",1,0,1,1,0,0,1,0,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg
Chesapeake Bay Retriever,USA,Sporting,Waterproof coat,7,Large,Moderate,2.5,Yes,7,Moderate,Low,7,"intelligent, courageous, loyal, protective, confident","Maryland, United States",US,"A powerful, muscular gundog with distinctive wavy, waterproof double coat and amber eyes, bred for retrieving waterfowl in the harsh conditions of the Chesapeake Bay",Sporting,Developed in the 19th century along the Chesapeake Bay from two shipwrecked Newfoundland-type puppies (Sailor and Canton) bred with local retrievers to create a water gundog capable of withstanding icy conditions and retrieving waterfowl in harsh environments,"{'id': 'JjT27ESYT', 'url': 'https://cdn2.thedogapi.com/images/JjT27ESYT.jpg', 'width': 1280, 'height': 1920}",25.0,36.0,30.5,53.0,66.0,59.5,10.0,13.0,11.5,"['intelligent', ' courageous', ' loyal', ' protective', ' confident']","intelligent, courageous, loyal, protective, confident",0,0,1,0,1,0,0,1,https://cdn2.thedogapi.com/images/JjT27ESYT.jpg
Chihuahua,Mexico,Toy,Smallest dog breed,6,Small,Low,1.0,No,7,Low,Moderate,7,"alert, devoted, intelligent, confident, courageous, lively",Mexico,MX,"World's smallest dog breed with long, flowing coat and bold, confident personality despite tiny size",Toy,"Ancient breed descended from Techichi dogs of the Toltec civilization, refined in Mexican state of Chihuahua and standardized in Mexico and the US. Recognized by AKC since 1904","{'id': 'keGcncOUuU', 'url': 'https://cdn4.thedogapi.com/optimized/keGcncOUuU.jpg', 'width': 1104, 'height': 960}",1.0,3.0,2.0,13.0,20.0,16.5,,,,"['alert', ' devoted', ' intelligent', ' confident', ' courageous', ' lively']","alert, devoted, intelligent, confident, courageous, lively",1,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/keGcncOUuU.jpg
Chinese Crested,China,Toy,Hairless variety,7,Small,High,1.0,Yes,8,Low,Low,6,"affectionate, alert, playful, lively, intelligent, gentle",China,CN,"Small, elegant toy dog with fine-boned build that comes in two distinctive varieties: the Hairless with soft skin and tufts of hair, and the Powderpuff with a soft, straight double coat",Toy,Ancient breed believed to have descended from African or Mexican hairless dogs and refined in China. Chinese mariners kept them on ships to hunt vermin and traded them among port cities worldwide. Served as companions to Chinese nobility and were believed to possess magical healing powers,"{'id': 'EmZBU7gxxa', 'url': 'https://cdn4.thedogapi.com/optimized/EmZBU7gxxa.jpg', 'width': 1264, 'height': 832}",3.6,5.4,4.5,28.0,33.0,30.5,,,,"['affectionate', ' alert', ' playful', ' lively', ' intelligent', ' gentle']","affectionate, alert, playful, lively, intelligent, gentle",1,1,1,1,1,0,1,0,https://cdn4.thedogapi.com/optimized/EmZBU7gxxa.jpg
Chinese Shar-Pei,China,Non-Sporting,Wrinkled skin,6,Medium,Low,1.5,With Training,6,Moderate,High,8,"loyal, independent, calm, alert, protective, intelligent",China,CN,"An ancient Chinese breed known for its distinctive deep wrinkles, hippopotamus-like muzzle, blue-black tongue, and compact, medium-sized build with a calm, independent temperament",Non-Sporting,"Ancient Chinese breed from southern provinces dating back to the Han Dynasty, originally used as all-purpose farm dog for hunting, herding, guarding, and farm work. Nearly extinct in mid-20th century but revived from very small population by dedicated breeders in 1970s","{'id': 'Rrs2lVEQHq', 'url': 'https://cdn4.thedogapi.com/optimized/Rrs2lVEQHq.jpg', 'width': 1200, 'height': 896}",20.0,27.0,23.5,46.0,51.0,48.5,8.0,12.0,10.0,"['loyal', ' independent', ' calm', ' alert', ' protective', ' intelligent']","loyal, independent, calm, alert, protective, intelligent",0,0,1,0,1,1,1,0,https://cdn4.thedogapi.com/optimized/Rrs2lVEQHq.jpg
Chow Chow,China,Non-Sporting,Blue-black tongue,5,Medium,High,1.5,No,5,High,High,9,"loyal, independent, aloof, alert, calm, protective",China,CN,"An ancient, powerful, and sturdily built dog of Arctic spitz-type, known for its distinctive lion-like mane, unique blue-black tongue, stilted gait, and dense double coat",Non-Sporting,"One of the oldest recognizable breeds with origins dating back over 2,000 years in northern China, where it served as hunting, herding, guarding, and companion dog. Refined during Tang Dynasty and recognized by AKC in 1903.","{'id': 'XSu9Ht84DA', 'url': 'https://cdn4.thedogapi.com/optimized/XSu9Ht84DA.jpg', 'width': 1088, 'height': 976}",20.0,32.0,26.0,43.0,51.0,47.0,8.0,12.0,10.0,"['loyal', ' independent', ' aloof', ' alert', ' calm', ' protective']","loyal, independent, aloof, alert, calm, protective",0,0,0,0,1,1,1,0,https://cdn4.thedogapi.com/optimized/XSu9Ht84DA.jpg
Clumber Spaniel,England,Sporting,Massive head,7,Medium,Moderate,1.5,Yes,6,High,Moderate,6,"gentle, loyal, calm, intelligent, playful",England,GB,"A long, low, and substantial flushing spaniel with a massive head, heavy bone structure, pensive expression, and predominantly white coat with lemon or orange markings",Sporting,"Developed in the 18th century, associated with the French Duc de Noailles and Duke of Newcastle's Clumber Park estate in Nottinghamshire. Likely developed from Alpine Spaniel, Basset Hound crosses. Prized by British royalty and nobility as gentleman's hunting spaniels for game flushing","{'id': 'M5cp3u9VBx', 'url': 'https://cdn4.thedogapi.com/optimized/M5cp3u9VBx.jpg', 'width': 1088, 'height': 976}",25.0,39.0,32.0,43.0,51.0,47.0,10.0,12.0,11.0,"['gentle', ' loyal', ' calm', ' intelligent', ' playful']","gentle, loyal, calm, intelligent, playful",0,0,1,1,0,0,1,0,https://cdn4.thedogapi.com/optimized/M5cp3u9VBx.jpg
Cocker Spaniel,England,Sporting,Long ears,9,Small-Medium,High,1.5,Yes,7,High,Moderate,5,"friendly, affectionate, playful, intelligent, outgoing",United States,US,"Compact sporting breed with silky coat, merry expression, and affectionate nature",Sporting,"Descended from English Cocker Spaniels, developed in the US for smaller size and specialized for woodcock hunting; officially recognized as a distinct breed by the AKC in 1946","{'id': 'R1b5gB11p', 'url': 'https://cdn2.thedogapi.com/images/R1b5gB11p.jpg', 'width': 1080, 'height': 1350}",9.0,14.0,11.5,32.0,39.0,35.5,10.0,14.0,12.0,"['friendly', ' affectionate', ' playful', ' intelligent', ' outgoing']","friendly, affectionate, playful, intelligent, outgoing",1,0,1,1,0,0,0,0,https://cdn2.thedogapi.com/images/R1b5gB11p.jpg
Curly-Coated Retriever,England,Sporting,Curly water-resistant coat,7,Large,Moderate,2.0,Yes,7,Low,Low,6,"confident, intelligent, independent, loyal, energetic",England,GB,"Large, elegant retriever and one of the oldest retriever breeds, distinguished by its distinctive tight, water-resistant curly coat and confident, athletic temperament",Sporting,"One of the oldest retriever breeds, developed in England during the 18th-19th century from English Water Spaniel, St. John's Newfoundland, and Poodle ancestry, prized by gamekeepers for waterfowl hunting versatility","{'id': 'hTIXRvifdU', 'url': 'https://cdn4.thedogapi.com/optimized/hTIXRvifdU.jpg', 'width': 1408, 'height': 768}",27.0,43.0,35.0,58.0,69.0,63.5,10.0,12.0,11.0,"['confident', ' intelligent', ' independent', ' loyal', ' energetic']","confident, intelligent, independent, loyal, energetic",0,1,1,0,0,1,0,1,https://cdn4.thedogapi.com/optimized/hTIXRvifdU.jpg
Dachshund,Germany,Hound,Long body short legs,7,Small,Low,1.5,With Training,7,Moderate,High,7,"courageous, intelligent, independent, alert, playful, devoted",Germany,DE,"Long-bodied, short-legged hound with distinctive elongated build, available in three coat types (smooth, wirehaired, and longhaired). Originally bred for hunting badgers in burrows, this bold and lively scent hound is known for its courageous, intelligent, and playful personality.",Hound,"Developed in Germany over 300 years ago (records date to 15th century) specifically for hunting badgers in their burrows. The name 'Dachshund' translates to 'badger dog' in German. Wirehaired varieties were developed by crossing with terriers for work in thorny terrain, while longhaired varieties were created using spaniels for colder climates.","{'id': 'HhcmXDVqR2', 'url': 'https://cdn4.thedogapi.com/optimized/HhcmXDVqR2.jpg', 'width': 1200, 'height': 880}",7.0,14.5,10.75,20.0,23.0,21.5,12.0,16.0,14.0,"['courageous', ' intelligent', ' independent', ' alert', ' playful', ' devoted']","courageous, intelligent, independent, alert, playful, devoted",1,0,1,1,1,1,0,0,https://cdn4.thedogapi.com/optimized/HhcmXDVqR2.jpg
Dalmatian,Croatia,Non-Sporting,Spotted coat,8,Medium,Low,2.5,Yes,7,Moderate,High,7,"energetic, outgoing, intelligent, alert, athletic","Dalmatia, Croatia",HR,"Medium-sized, athletic dog with distinctive black or liver spotted white coat and elegant build, originally bred as a carriage dog with exceptional endurance",Non-Sporting,"Ancient breed with roots in Dalmatia, Croatia, originally bred as carriage dogs to run for miles alongside horse-drawn coaches, guarding horses and coaches. Also served as circus performers and iconic firehouse mascots, particularly associated with American fire departments. Recognized by AKC in 1888.","{'id': 'ACDtQWVRBr', 'url': 'https://cdn4.thedogapi.com/optimized/ACDtQWVRBr.jpg', 'width': 896, 'height': 1200}",20.0,32.0,26.0,56.0,61.0,58.5,11.0,13.0,12.0,"['energetic', ' outgoing', ' intelligent', ' alert', ' athletic']","energetic, outgoing, intelligent, alert, athletic",1,1,1,0,1,0,0,0,https://cdn4.thedogapi.com/optimized/ACDtQWVRBr.jpg
Dandie Dinmont Terrier,Scotland,Terrier,Distinctive topknot,7,Small,Moderate,1.5,Yes,7,Low,Low,7,"independent, intelligent, loyal, affectionate, confident, gentle",Scottish Borders,GB,"Small, long, low-bodied terrier with distinctive topknot of silky hair, large soulful eyes, and unique pepper or mustard colored crisp double coat. Originally bred for hunting badgers and otters with a gentle expression despite their tenacious nature.",Terrier,Developed in the 18th century in the border region between Scotland and England for hunting badgers and otters. Named after a character in Sir Walter Scott's 1815 novel 'Guy Mannering'. Recognized by The Kennel Club (UK) in 1875 and AKC in 1886.,"{'id': 'wnXnSQ9sTP', 'url': 'https://cdn4.thedogapi.com/optimized/wnXnSQ9sTP.jpg', 'width': 1232, 'height': 864}",8.0,11.0,9.5,20.0,28.0,24.0,12.0,15.0,13.5,"['independent', ' intelligent', ' loyal', ' affectionate', ' confident', ' gentle']","independent, intelligent, loyal, affectionate, confident, gentle",1,0,1,0,0,1,1,1,https://cdn4.thedogapi.com/optimized/wnXnSQ9sTP.jpg
Doberman Pinscher,Germany,Working,Sleek appearance,8,Large,Low,2.5,With Training,9,Low,Moderate,7,"intelligent, alert, loyal, energetic, confident",Germany,DE,"Medium-large, sleek, athletic and powerful dog known for exceptional loyalty and intelligence. This elegant working breed combines strength with agility and has a confident, alert demeanor.",Working,"Created in late 19th century by Karl Friedrich Louis Dobermann using breeds such as the Rottweiler, German Pinscher, and others for protection and companionship","{'id': 'yy1nVxX1TD', 'url': 'https://cdn4.thedogapi.com/optimized/yy1nVxX1TD.jpg', 'width': 1264, 'height': 848}",27.0,45.0,36.0,61.0,71.0,66.0,10.0,12.0,11.0,"['intelligent', ' alert', ' loyal', ' energetic', ' confident']","intelligent, alert, loyal, energetic, confident",0,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/yy1nVxX1TD.jpg
English Bulldog,England,Non-Sporting,Pushed-in nose,7,Medium,Low,1.0,Yes,6,Moderate,High,7,"friendly, courageous, calm, docile, loyal",England,GB,"Medium-sized muscular dog with loose wrinkled skin, distinctive wrinkled face, and pushed-in nose, known for its gentle but courageous disposition",Non-Sporting,"Originally developed in medieval England for bull-baiting, descended from ancient mastiff-type dogs. After blood sports were outlawed in 1835, refined into the gentle companion breed known today","{'id': 'AE2TgiqscE', 'url': 'https://cdn4.thedogapi.com/optimized/AE2TgiqscE.jpg', 'width': 1296, 'height': 816}",18.0,25.0,21.5,36.0,38.0,37.0,8.0,10.0,9.0,"['friendly', ' courageous', ' calm', ' docile', ' loyal']","friendly, courageous, calm, docile, loyal",1,0,0,0,1,0,1,0,https://cdn4.thedogapi.com/optimized/AE2TgiqscE.jpg
English Cocker Spaniel,England,Sporting,Merry temperament,8,Medium,High,1.5,Yes,7,Moderate,Moderate,5,"merry, affectionate, intelligent, energetic, playful, gentle, eager to please",England,GB,"A medium-sized, merry sporting spaniel known for its silky coat, long lush ears, expressive eyes, and energetic attitude. Compact and athletic, built for endurance and agility in the field with exceptional abilities as both hunting companion and family dog.",Sporting,Developed in England from land spaniels as a specialist flushing spaniel for woodcock and other game birds. Officially separated from American Cocker Spaniel in the 1940s by breed standards.,"{'id': 'UnSc5dMSae', 'url': 'https://cdn4.thedogapi.com/optimized/UnSc5dMSae.jpg', 'width': 1264, 'height': 848}",12.0,15.5,13.75,38.0,43.0,40.5,12.0,14.0,13.0,"['merry', ' affectionate', ' intelligent', ' energetic', ' playful', ' gentle', ' eager to please']","merry, affectionate, intelligent, energetic, playful, gentle, eager to please",1,1,1,1,0,0,1,0,https://cdn4.thedogapi.com/optimized/UnSc5dMSae.jpg
English Foxhound,England,Hound,Pack hunting ability,7,Medium,Low,2.5,Yes,6,Moderate,Low,7,"friendly, energetic, gentle, independent, courageous",England,GB,"Large, athletic scent hound with classic pack-hound build, bred for fox hunting with exceptional endurance and stamina. Features a short, hard, dense coat and powerful, musical voice with distinctive bay.",Hound,"Developed in England since the 16th century specifically for fox hunting, with studbooks maintained by the Masters of Foxhounds Association since the 1700s representing some of the most complete breed records","{'id': 'L6rQ7CyZbD', 'url': 'https://cdn4.thedogapi.com/optimized/L6rQ7CyZbD.jpg', 'width': 1264, 'height': 848}",27.0,34.0,30.5,53.0,64.0,58.5,10.0,13.0,11.5,"['friendly', ' energetic', ' gentle', ' independent', ' courageous']","friendly, energetic, gentle, independent, courageous",1,1,0,0,1,1,1,0,https://cdn4.thedogapi.com/optimized/L6rQ7CyZbD.jpg
English Setter,England,Sporting,Speckled coat,8,Medium,High,2.0,Yes,7,Moderate,Moderate,6,"friendly, gentle, affectionate, intelligent, energetic",England,GB,"Elegant and athletic gundog distinguished by its unique speckled (belton) coat, feathered markings, and graceful movement, known for gentle hunting instincts and friendly disposition",Sporting,"Developed in England over 400 years ago from spaniel stock, refined in the 19th century by Edward Laverack and R. Purcell Llewellin to create a specialized bird dog for locating and setting game birds","{'id': 'DaCvmFBDVI', 'url': 'https://cdn4.thedogapi.com/optimized/DaCvmFBDVI.jpg', 'width': 1200, 'height': 896}",20.0,36.0,28.0,58.0,69.0,63.5,12.0,14.0,13.0,"['friendly', ' gentle', ' affectionate', ' intelligent', ' energetic']","friendly, gentle, affectionate, intelligent, energetic",1,1,1,0,0,0,1,0,https://cdn4.thedogapi.com/optimized/DaCvmFBDVI.jpg
English Springer Spaniel,England,Sporting,Dual-purpose hunter,9,Medium,High,2.0,Yes,7,Moderate,Moderate,6,"friendly, intelligent, energetic, eager to please, playful",England,GB,"Medium-sized athletic sporting dog with long ears, feathered silky coat, and enthusiastic, eager-to-please personality. Known for their compact body, gentle intelligent expression, and versatile gundog abilities.",Sporting,"Developed in 19th century England as a versatile gundog to find and 'spring' game for the net, falcon, or gun. Originally separated from smaller 'cocker' spaniels by size and hunting use. Officially recognized by The Kennel Club in 1902 and AKC in 1910.","{'id': 'Hk0Jfe5VQ', 'url': 'https://cdn2.thedogapi.com/images/Hk0Jfe5VQ_1280.jpg', 'width': 1440, 'height': 1080}",16.0,25.0,20.5,46.0,53.0,49.5,12.0,14.0,13.0,"['friendly', ' intelligent', ' energetic', ' eager to please', ' playful']","friendly, intelligent, energetic, eager to please, playful",1,1,1,1,0,0,0,0,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ_1280.jpg
Entlebucher Mountain Dog,Switzerland,Herding,Tri-colored markings,7,Medium,Low,2.5,Yes,8,Moderate,Low,7,"intelligent, energetic, loyal, alert, confident, devoted","Entlebuch valley, Switzerland",CH,"The smallest of the four Swiss Mountain Dogs, the Entlebucher is a compact, sturdy, and muscular herding dog with a distinctive tricolor coat. Known for its intelligence, loyalty, and agile working ability.",Herding,"The smallest of the four Swiss Sennenhund breeds, developed in the Entlebuch valley region of Switzerland as an all-around farm dog for herding cattle and driving livestock to market. First documented in 1889 and recognized for its working versatility.","{'id': 'KFJFCM2M2M', 'url': 'https://cdn4.thedogapi.com/optimized/KFJFCM2M2M.jpg', 'width': 1104, 'height': 976}",18.0,30.0,24.0,41.0,53.0,47.0,11.0,13.0,12.0,"['intelligent', ' energetic', ' loyal', ' alert', ' confident', ' devoted']","intelligent, energetic, loyal, alert, confident, devoted",1,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/KFJFCM2M2M.jpg
Field Spaniel,England,Sporting,Noble appearance,7,Medium,High,2.0,Yes,7,Moderate,Low,6,"docile, intelligent, affectionate, gentle, sensitive",England,GB,"Medium-sized sporting dog with silky, glossy coat in black, liver, or roan colors, built for endurance and agility in the field with an adaptable, noble temperament",Sporting,"Developed in England during the late 19th century from Cocker Spaniels and other spaniel varieties, initially for show but later redeveloped for field work. The breed faced near extinction after World War II but was revived by dedicated breeders.","{'id': 'SkJfGecE7', 'url': 'https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg', 'width': 1280, 'height': 906}",16.0,23.0,19.5,43.0,46.0,44.5,12.0,13.0,12.5,"['docile', ' intelligent', ' affectionate', ' gentle', ' sensitive']","docile, intelligent, affectionate, gentle, sensitive",1,0,1,0,0,0,1,0,https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg
Finnish Lapphund,Finland,Herding,Thick double coat,8,Medium,High,2.0,Yes,7,High,Low,6,"friendly, alert, intelligent, calm, courageous, loyal, adaptable",Lapland (Finland),FI,"Medium-sized, sturdy spitz-type dog with a thick profuse double coat and fox-like features, originally bred for herding reindeer in arctic conditions by the Sami people",Herding,"Ancient spitz breed developed by the indigenous Sami people of Lapland to herd and guard reindeer in Arctic conditions. Nearly extinct after WWII but successfully restored by dedicated Finnish breeders, officially recognized by Finnish Kennel Club in 1945","{'id': 'iYYvYN0MXl', 'url': 'https://cdn4.thedogapi.com/optimized/iYYvYN0MXl.jpg', 'width': 1104, 'height': 976}",15.0,24.0,19.5,41.0,53.0,47.0,12.0,15.0,13.5,"['friendly', ' alert', ' intelligent', ' calm', ' courageous', ' loyal', ' adaptable']","friendly, alert, intelligent, calm, courageous, loyal, adaptable",1,0,1,0,1,0,1,0,https://cdn4.thedogapi.com/optimized/iYYvYN0MXl.jpg
Finnish Spitz,Finland,Non-Sporting,Fox-like appearance,7,Medium,Moderate,2.0,Yes,8,Moderate,Low,7,"friendly, alert, intelligent, independent, playful, courageous",Finland,FI,"Medium-sized fox-like spitz hunting dog with dense golden-red double coat, erect ears, curled plumed tail, and alert expression. Known as Finland's national dog and called the 'barking pointer' for their distinctive hunting style.",Non-Sporting,"Ancient Finnish breed developed through centuries of selective breeding to hunt all types of game from squirrels to bears. Nearly extinct in late 1800s before restoration efforts. Became Finland's national dog in 1979, bred specifically for barking ability and stamina in harsh climates.","{'id': 'gwZ3amqat', 'url': 'https://cdn2.thedogapi.com/images/gwZ3amqat.jpg', 'width': 1280, 'height': 1707}",9.0,15.0,12.0,39.0,51.0,45.0,12.0,15.0,13.5,"['friendly', ' alert', ' intelligent', ' independent', ' playful', ' courageous']","friendly, alert, intelligent, independent, playful, courageous",1,0,1,1,1,1,0,0,https://cdn2.thedogapi.com/images/gwZ3amqat.jpg
Flat-Coated Retriever,England,Sporting,Shiny black coat,9,Large,Moderate,2.5,Yes,8,Moderate,Moderate,5,"friendly, outgoing, optimistic, intelligent, energetic, playful, devoted",England,GB,"Large, elegant sporting dog with a lustrous, sleek flat coat in solid black or liver, known for their cheerful, perpetually youthful 'Peter Pan' personality and optimistic temperament",Sporting,"Developed in mid-19th century England by crossing St. John's Water Dog with various retrievers, setters, spaniels and sheepdogs to create a versatile gundog for work on both land and water","{'id': 'vol1VcS0yZ', 'url': 'https://cdn4.thedogapi.com/optimized/vol1VcS0yZ.jpg', 'width': 1200, 'height': 896}",25.0,32.0,28.5,56.0,62.0,59.0,8.0,10.0,9.0,"['friendly', ' outgoing', ' optimistic', ' intelligent', ' energetic', ' playful', ' devoted']","friendly, outgoing, optimistic, intelligent, energetic, playful, devoted",1,1,1,1,0,0,0,1,https://cdn4.thedogapi.com/optimized/vol1VcS0yZ.jpg
French Bulldog,France,Non-Sporting,Bat ears,8,Small,Low,1.0,Yes,7,Low,High,6,"affectionate, playful, alert, adaptable, smart",France,FR,"Small, compact muscular companion dog known for its distinctive large bat-like ears, flat smooshed face, and short smooth coat. Originally developed as a beloved companion breed with a playful, alert disposition.",Non-Sporting,Developed in 19th century France when English lacemakers brought Toy Bulldogs to France and crossed them with local French ratters becoming highly fashionable in Parisian society,"{'id': 'Rvl1BeqaRB', 'url': 'https://cdn4.thedogapi.com/optimized/Rvl1BeqaRB.jpg', 'width': 1200, 'height': 880}",7.0,13.0,10.0,28.0,33.0,30.5,10.0,12.0,11.0,"['affectionate', ' playful', ' alert', ' adaptable', ' smart']","affectionate, playful, alert, adaptable, smart",1,0,1,1,1,0,1,0,https://cdn4.thedogapi.com/optimized/Rvl1BeqaRB.jpg
German Pinscher,Germany,Working,Elegant appearance,7,Medium,Low,2.0,With Training,8,Moderate,Low,7,"alert, courageous, intelligent, energetic, confident, loyal",Germany,DE,"Medium-sized, well-muscled working dog with elegant, athletic build and smooth coat. Known for its high-spirited, alert, and confident demeanor, this is one of Germany's oldest breeds.",Working,"Ancient German breed developed for vermin control, ratting, and farm work. Ancestor to the Doberman Pinscher and Miniature Pinscher. Nearly faced extinction after World War II but was revived by Werner Jung in West Germany in the late 1950s. Recognized by AKC in 2003.","{'id': 'j1G4ppvAsp', 'url': 'https://cdn4.thedogapi.com/optimized/j1G4ppvAsp.jpg', 'width': 832, 'height': 1264}",11.0,20.0,15.5,43.0,51.0,47.0,12.0,14.0,13.0,"['alert', ' courageous', ' intelligent', ' energetic', ' confident', ' loyal']","alert, courageous, intelligent, energetic, confident, loyal",0,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/j1G4ppvAsp.jpg
