name,species_id,temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years
Chug,2,"playful, affectionate, loyal, alert, confident",United States,US,"A small companion dog resulting from a cross between a Pug and a Chihuahua, known for its compact build, expressive face, and spirited yet affectionate nature",Mixed,A modern crossbreed developed in North America in the late 20th century by crossing a Pug with a Chihuahua. The goal was to create a small companion dog combining the affectionate nature of the Pug with the spirited personality of the Chihuahua. Not recognized by major kennel clubs.,"{'id': '7ED3YQFWce', 'url': 'https://cdn4.thedogapi.com/optimized/7ED3YQFWce.jpg', 'width': 1408, 'height': 768}",4.5,9.0,6.75,25.0,36.0,30.5,10.0,13.0,11.5
Chukotka Sled Dog,2,"hardy, energetic, independent, loyal, alert, work-focused","Chukotka Peninsula, Siberia",RU,"Arctic spitz-type sled dog from northeastern Siberia, developed by the Chukchi people for sledding, endurance, and transportation in extreme cold conditions",Northern,"Ancient breed developed by the indigenous Chukchi people of northeastern Siberia for sledding, hunting, and survival in Arctic conditions. Traditional sled dog bred for centuries for transportation and endurance, considered the foundation breed for the Siberian Husky.","{'id': '9PUqMc70ID', 'url': 'https://cdn4.thedogapi.com/optimized/9PUqMc70ID.jpg', 'width': 1264, 'height': 848}",18.0,25.0,21.5,51.0,60.0,55.5,12.0,15.0,13.5
Cimarrón Uruguayo,2,"courageous, intelligent, loyal, protective, calm, confident",Uruguay,UY,"Large, powerful molossoid breed with robust bone structure and athletic build, known for its balanced temperament, courage, and protective instincts. This rugged working breed features a short brindle or fawn coat and strong working heritage.",Working,"Descended from dogs brought by Spanish and Portuguese colonizers, developed as a feral breed then shaped by natural selection in the wild. Used for herding cattle, guarding property, and hunting large game. Officially recognized in Uruguay in 1989 and recognized by the FCI.","{'id': 'LZ3fo6EEPD', 'url': 'https://cdn4.thedogapi.com/optimized/LZ3fo6EEPD.jpg', 'width': 1136, 'height': 944}",33.0,45.0,39.0,55.0,61.0,58.0,10.0,12.0,11.0
Cirneco dell'Etna,2,"affectionate, independent, alert, gentle, intelligent","Sicily, Italy",IT,"Ancient medium-sized sighthound with short coat, elegant slender build, and distinctive large ears. Bred for hunting on the rugged volcanic terrain of Mount Etna, this athletic breed combines endurance with graceful movement.",Hound,"Ancient Sicilian breed developed for rabbit hunting on Mount Etna's rugged volcanic terrain for over 2,500 years. Nearly extinct, the breed was revived in the 20th century and is now recognized by FCI and AKC Foundation Stock Service.","{'id': 'ZtaezE1Cby', 'url': 'https://cdn4.thedogapi.com/optimized/ZtaezE1Cby.jpg', 'width': 1056, 'height': 1008}",8.0,12.0,10.0,42.0,50.0,46.0,12.0,14.0,13.0
Clumber Spaniel,2,"gentle, loyal, calm, intelligent, playful",England,GB,"A long, low, and substantial flushing spaniel with a massive head, heavy bone structure, pensive expression, and predominantly white coat with lemon or orange markings",Sporting,"Developed in the 18th century, associated with the French Duc de Noailles and Duke of Newcastle's Clumber Park estate in Nottinghamshire. Likely developed from Alpine Spaniel, Basset Hound crosses. Prized by British royalty and nobility as gentleman's hunting spaniels for game flushing","{'id': 'M5cp3u9VBx', 'url': 'https://cdn4.thedogapi.com/optimized/M5cp3u9VBx.jpg', 'width': 1088, 'height': 976}",25.0,39.0,32.0,43.0,51.0,47.0,10.0,12.0,11.0
Cockapoo,2,"friendly, intelligent, affectionate, playful, outgoing",United States,US,"Popular crossbreed between Cocker Spaniel and Poodle with soft, wavy or curly coat and friendly temperament. One of the oldest and most popular 'designer' breeds, known for intelligence, affectionate nature, and low-shedding coat.",Mixed,"One of the first 'designer breeds' with intentional breeding starting in the United States in the 1960s. Goal was to combine the outgoing, loving personality of the Cocker Spaniel with the low-shedding, intelligent nature of the Poodle to create a healthy companion dog","{'id': 'LXdRpAEn75', 'url': 'https://cdn4.thedogapi.com/optimized/LXdRpAEn75.jpg', 'width': 1264, 'height': 848}",5.0,11.0,8.0,25.0,38.0,31.5,12.0,15.0,13.5
Cocker Spaniel,2,"friendly, affectionate, playful, intelligent, outgoing",United States,US,"Compact sporting breed with silky coat, merry expression, and affectionate nature",Sporting,"Descended from English Cocker Spaniels, developed in the US for smaller size and specialized for woodcock hunting; officially recognized as a distinct breed by the AKC in 1946","{'id': 'R1b5gB11p', 'url': 'https://cdn2.thedogapi.com/images/R1b5gB11p.jpg', 'width': 1080, 'height': 1350}",9.0,14.0,11.5,32.0,39.0,35.5,10.0,14.0,12.0
Colombian Fino Hound,2,"affectionate, docile, energetic, intelligent, loyal, work-focused, devoted, alert",Colombia,CO,"A medium-sized Colombian scenthound of noble appearance with athletic build, characterized by long ears, a sad expression, short smooth coat, and exceptional scenting abilities. Known in its native country as the Sabueso Fino Colombiano.",Scent Hound,"Traditional Colombian scent hound descended from European and North American scenthounds brought to Colombia, adapted over centuries to local terrain and climate. Developed by rural hunters for tenacity and scenting skills from local and Spanish scent hounds. Officially recognized in Colombia in early 2000s and received provisional FCI recognition in 2014.","{'id': 'SvewSSpPyR', 'url': 'https://cdn4.thedogapi.com/optimized/SvewSSpPyR.jpg', 'width': 1168, 'height': 912}",15.0,25.0,20.0,38.0,50.0,44.0,10.0,14.0,12.0
Continental Bulldog,2,"friendly, confident, calm, alert, adaptable, loyal",Switzerland,CH,"Medium-sized, athletically built bulldog with a broad head, muscular compact body, and short coat, designed for improved health and breathing compared to traditional bulldogs with smooth movement and endurance",Non-Sporting,"Developed in Switzerland in the early 2000s by breeder Imelda Angehrn to create a healthier more athletic bulldog with fewer respiratory issues by crossing English Bulldogs with Olde English Bulldogges, provisionally recognized by FCI in 2022","{'id': 'V4M53OOdaI', 'url': 'https://cdn4.thedogapi.com/optimized/V4M53OOdaI.jpg', 'width': 1264, 'height': 848}",20.0,30.0,25.0,38.0,47.0,42.5,10.0,14.0,12.0
Corgipoo,2,"intelligent, friendly, playful, affectionate, energetic, alert",United States,US,"A designer crossbreed between a Cardigan Welsh Corgi and Miniature Poodle, known for its compact size, intelligence, and friendly nature. Coat type, size, and temperament can vary significantly based on genetic inheritance from the parent breeds.",Mixed,"Modern designer crossbreed developed in the United States by combining the Cardigan Welsh Corgi with a Miniature Poodle. The aim was to create an intelligent companion dog with the low-shedding coat of the Poodle and the sturdy, affectionate nature of the Corgi. Not formally recognized by major kennel clubs.","{'id': 'V7d9XQV5qy', 'url': 'https://cdn4.thedogapi.com/optimized/V7d9XQV5qy.jpg', 'width': 1408, 'height': 768}",5.0,14.0,9.5,25.0,38.0,31.5,12.0,15.0,13.5
Corsican Dog,2,"independent, alert, loyal, protective, intelligent","Corsica, France",FR,"Medium-sized, versatile and athletic dog native to the island of Corsica with a rustic build and alert demeanor. This ancient multi-purpose breed combines hunting ability with herding and guarding instincts, displaying both independence and devotion to family.",Herding,"Ancient multi-purpose breed native to Corsica, used for hunting wild boar, herding livestock, and property protection. Nearly extinct in the 20th century but revived by enthusiasts starting in 1989. Recognized by French Kennel Club and provisionally by FCI as the Cursinu.","{'id': 'OFLogYcG3a', 'url': 'https://cdn4.thedogapi.com/optimized/OFLogYcG3a.jpg', 'width': 1040, 'height': 1024}",13.0,29.0,21.0,43.0,58.0,50.5,10.0,14.0,12.0
Coton de Tulear,2,"happy, playful, affectionate, alert, friendly, intelligent, adaptable",Madagascar,MG,"Small companion dog with soft cotton-like white coat, charming personality and cheerful temperament",Non-Sporting,"Originated as royal dog and companion to nobles in Madagascar, developed from small white dogs brought by traders. Named for city of Tuléar and recognized by FCI and AKC as beloved adaptable companion breed","{'id': 'SyviZlqNm', 'url': 'https://cdn2.thedogapi.com/images/SyviZlqNm_1280.jpg', 'width': 2464, 'height': 1638}",3.5,7.0,5.25,23.0,28.0,25.5,,,
Cretan Hound,2,"intelligent, independent, alert, energetic, athletic, gentle, affectionate","Crete, Greece",GR,"Ancient, primitive Mediterranean sighthound from Greece with slender, athletic build, erect ears, and curled tail. Known for exceptional speed, agility, and keen hunting instincts over harsh, rocky terrain.",Hound,"Ancient Hellenic breed native to the Greek island of Crete, with depictions dating back over 4,000 years. Developed for hunting hare and wild rabbits over harsh, rocky terrain. Regarded as one of the oldest European hounds and recognized provisionally by the FCI.","{'id': 'uuNFpVb59T', 'url': 'https://cdn4.thedogapi.com/optimized/uuNFpVb59T.jpg', 'width': 1024, 'height': 1040}",15.0,25.0,20.0,50.0,60.0,55.0,12.0,15.0,13.5
Croatian Sheepdog,2,"intelligent, alert, energetic, loyal, work-focused, eager to please",Croatia,HR,"Medium-sized, agile herding dog with a distinctive wavy or curly black coat and athletic build. This intelligent and lively breed displays an alert expression and was developed for livestock work in Croatia.",Herding,"Ancient herding breed believed to have descended from dogs brought by the Croats in the 7th century, developed in eastern regions of Slavonia as versatile farm and herding dog. Referenced in historical documents from 1374, systematic breeding program began in 1935 with FCI recognition granted in 1969.","{'id': 'qsshNx5TEm', 'url': 'https://cdn4.thedogapi.com/optimized/qsshNx5TEm.jpg', 'width': 896, 'height': 1200}",13.0,20.0,16.5,40.0,50.0,45.0,12.0,14.0,13.0
Curly-Coated Retriever,2,"confident, intelligent, independent, loyal, energetic",England,GB,"Large, elegant retriever and one of the oldest retriever breeds, distinguished by its distinctive tight, water-resistant curly coat and confident, athletic temperament",Sporting,"One of the oldest retriever breeds, developed in England during the 18th-19th century from English Water Spaniel, St. John's Newfoundland, and Poodle ancestry, prized by gamekeepers for waterfowl hunting versatility","{'id': 'hTIXRvifdU', 'url': 'https://cdn4.thedogapi.com/optimized/hTIXRvifdU.jpg', 'width': 1408, 'height': 768}",27.0,43.0,35.0,58.0,69.0,63.5,10.0,12.0,11.0
Czechoslovakian Wolfdog,2,"loyal, intelligent, energetic, courageous, alert, independent",Czechoslovakia,CZ,"Athletic, wolf-like working breed with a powerful build and primitive appearance, developed from German Shepherds and Carpathian wolves. Known for high energy, endurance, and independent nature with distinctive wolf-like features.",Working,Developed in 1955 in Czechoslovakia through biological experiment crossing German Shepherd Dogs with Carpathian wolves. Goal was to blend trainability of German Shepherd with stamina and pack instinct of wolf for military border patrol use. Officially recognized by FCI in 1989.,"{'id': '5mJ6alzNPv', 'url': 'https://cdn4.thedogapi.com/optimized/5mJ6alzNPv.jpg', 'width': 1408, 'height': 768}",20.0,34.0,27.0,60.0,71.0,65.5,12.0,16.0,14.0
Dachshund,2,"courageous, intelligent, independent, alert, playful, devoted",Germany,DE,"Long-bodied, short-legged hound with distinctive elongated build, available in three coat types (smooth, wirehaired, and longhaired). Originally bred for hunting badgers in burrows, this bold and lively scent hound is known for its courageous, intelligent, and playful personality.",Hound,"Developed in Germany over 300 years ago (records date to 15th century) specifically for hunting badgers in their burrows. The name 'Dachshund' translates to 'badger dog' in German. Wirehaired varieties were developed by crossing with terriers for work in thorny terrain, while longhaired varieties were created using spaniels for colder climates.","{'id': 'HhcmXDVqR2', 'url': 'https://cdn4.thedogapi.com/optimized/HhcmXDVqR2.jpg', 'width': 1200, 'height': 880}",7.0,14.5,10.75,20.0,23.0,21.5,12.0,16.0,14.0
Dalmadoodle,2,"intelligent, energetic, friendly, loyal, alert",United States,US,"An intelligent and athletic mixed breed cross between Dalmatian and Standard Poodle, combining the Dalmatian's distinctive spotted appearance and dignified nature with the Poodle's keen intelligence and potentially low-shedding coat",Mixed,Modern designer crossbreed developed by mixing a Dalmatian with a Standard Poodle to combine the Dalmatian's distinctive appearance and athletic ability with the Poodle's intelligence and potentially hypoallergenic coat. Not recognized by major kennel clubs.,"{'id': 'OvtpkLYExs', 'url': 'https://cdn4.thedogapi.com/optimized/OvtpkLYExs.jpg', 'width': 1408, 'height': 768}",20.0,32.0,26.0,48.0,61.0,54.5,11.0,15.0,13.0
Dalmatian,2,"energetic, outgoing, intelligent, alert, athletic","Dalmatia, Croatia",HR,"Medium-sized, athletic dog with distinctive black or liver spotted white coat and elegant build, originally bred as a carriage dog with exceptional endurance",Non-Sporting,"Ancient breed with roots in Dalmatia, Croatia, originally bred as carriage dogs to run for miles alongside horse-drawn coaches, guarding horses and coaches. Also served as circus performers and iconic firehouse mascots, particularly associated with American fire departments. Recognized by AKC in 1888.","{'id': 'ACDtQWVRBr', 'url': 'https://cdn4.thedogapi.com/optimized/ACDtQWVRBr.jpg', 'width': 896, 'height': 1200}",20.0,32.0,26.0,56.0,61.0,58.5,11.0,13.0,12.0
Dandie Dinmont Terrier,2,"independent, intelligent, loyal, affectionate, confident, gentle",Scottish Borders,GB,"Small, long, low-bodied terrier with distinctive topknot of silky hair, large soulful eyes, and unique pepper or mustard colored crisp double coat. Originally bred for hunting badgers and otters with a gentle expression despite their tenacious nature.",Terrier,Developed in the 18th century in the border region between Scotland and England for hunting badgers and otters. Named after a character in Sir Walter Scott's 1815 novel 'Guy Mannering'. Recognized by The Kennel Club (UK) in 1875 and AKC in 1886.,"{'id': 'wnXnSQ9sTP', 'url': 'https://cdn4.thedogapi.com/optimized/wnXnSQ9sTP.jpg', 'width': 1232, 'height': 864}",8.0,11.0,9.5,20.0,28.0,24.0,12.0,15.0,13.5
Danish Spitz,2,"friendly, alert, intelligent, energetic, loyal",Denmark,DK,"Medium-sized, compact spitz-type dog with a dense white double coat, pricked ears, and curled tail carried over the back. Known for its friendly, lively disposition and wedge-shaped head with alert expression.",Non-Sporting,"An old Danish landrace breed used on farms as an all-purpose companion, watchdog, and vermin catcher. The breed faced near extinction in the 20th century but was revived by dedicated breeders and officially recognized by the Danish Kennel Club in 1988","{'id': 'We2yW9Ke0s', 'url': 'https://cdn4.thedogapi.com/optimized/We2yW9Ke0s.jpg', 'width': 848, 'height': 1264}",10.0,18.0,14.0,39.0,49.0,44.0,12.0,15.0,13.5
Danish-Swedish Farmdog,2,"alert, friendly, energetic, intelligent, adaptable, eager to please",Denmark and Sweden,"DK, SE","Small, compact, and slightly rectangular working dog with short smooth coat and alert expression, developed as a versatile all-purpose farm dog in Denmark and Sweden",Terrier,"Ancient Scandinavian farm dog breed from eastern Denmark and southernmost Sweden, used as versatile all-purpose farm dog for ratting, herding, guarding, and companionship. Officially recognized in Denmark and Sweden in 1987, by FCI in 2008-2019, and The Kennel Club (UK) in 2019","{'id': 'NTP0UdJD2P', 'url': 'https://cdn4.thedogapi.com/optimized/NTP0UdJD2P.jpg', 'width': 1232, 'height': 864}",7.0,11.0,9.0,29.0,38.0,33.5,11.0,15.0,13.0
Denmark Feist,2,"energetic, alert, intelligent, courageous, loyal","Denmark, Tennessee, United States",US,"Small to medium agile hunting dog of the Treeing Feist type, specifically developed for treeing small game, especially squirrels. Known for its tenacity, high energy, and alert nature with strong hunting instincts.",Scenthound,"The Denmark Feist is a specific line of Treeing Feist developed by the Slade family in Denmark, Tennessee, originating from dogs brought to the area in 1917. Developed from terrier and hound crosses, these historic American hunting dogs were prized by early settlers for their vermin-hunting and treeing abilities.","{'id': 't5psyLfO8Y', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/aa89f970-6bd6-4e5a-807a-9dd60182ebab.jpeg', 'width': 1408, 'height': 768}",7.0,16.0,11.5,38.0,46.0,42.0,12.0,18.0,15.0
Dikkulak,2,"alert, energetic, loyal, intelligent",Turkey,TR,"A rare Turkish landrace dog characterized by distinctive erect ears from which it gets its name ('prick ear'). Small to medium-sized with spitz-type features and sighthound heritage, bred for guarding homesteads and hunting in rural Anatolia.",Sighthound,"The Dikkulak is a rare, regional landrace from eastern Turkey, primarily found in rural Anatolia. Its name translates to 'prick ear' in Turkish, distinguishing it by its erect ears. Traditionally used for guarding homesteads and controlling vermin, this breed has been shaped by its environment and function rather than formal breeding programs. Not officially recognized by major international kennel clubs.","{'id': '5mJuu8toxy', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/bcdb1d7c-b189-493b-8cfa-fd907e7ff11a.jpeg', 'width': 1408, 'height': 768}",8.0,14.0,11.0,30.0,41.0,35.5,12.0,16.0,14.0
Dingo,2,"independent, alert, intelligent, adaptable",Australia,AU,"An ancient, primitive wild canid native to Australia with a lean, medium-sized build, wolf-like appearance, pricked ears, and bushy tail. Recognized for its reddish-tan coat and high intelligence, it is considered a wild dog rather than a domesticated breed.",Primitive/Wild Canid,"Ancient wild canid that arrived in Australia approximately 3,500-4,000 years ago, establishing itself as the continent's apex predator and adapting to diverse harsh Australian environments","{'id': 'mhdKgMYuu4', 'url': 'https://cdn4.thedogapi.com/optimized/mhdKgMYuu4.jpg', 'width': 1104, 'height': 976}",11.0,20.0,15.5,45.0,60.0,52.5,10.0,15.0,12.5
Doberman Pinscher,2,"intelligent, alert, loyal, energetic, confident",Germany,DE,"Medium-large, sleek, athletic and powerful dog known for exceptional loyalty and intelligence. This elegant working breed combines strength with agility and has a confident, alert demeanor.",Working,"Created in late 19th century by Karl Friedrich Louis Dobermann using breeds such as the Rottweiler, German Pinscher, and others for protection and companionship","{'id': 'yy1nVxX1TD', 'url': 'https://cdn4.thedogapi.com/optimized/yy1nVxX1TD.jpg', 'width': 1264, 'height': 848}",27.0,45.0,36.0,61.0,71.0,66.0,10.0,12.0,11.0
Dogo Argentino,2,"courageous, loyal, protective, confident, intelligent, energetic",Argentina,AR,"Large, powerful, all-white mastiff-type dog with massive head and athletic build, originally developed for big-game hunting with exceptional courage and strength",Working,"Developed in Argentina in the 1920s by Dr. Antonio Nores Martinez who systematically crossed the now-extinct Cordoba Fighting Dog with Great Dane, Boxer, Bull Terrier, and Pointer to create a versatile big-game hunter for wild boar and puma","{'id': 'TKneriCOWC', 'url': 'https://cdn4.thedogapi.com/optimized/TKneriCOWC.jpg', 'width': 896, 'height': 1200}",40.0,45.0,42.5,61.0,67.0,64.0,9.0,15.0,12.0
Dogo Sardesco,2,"protective, loyal, courageous, intelligent, confident, independent","Sardinia, Italy",IT,"Large, powerful Molossian-type guardian breed from Sardinia with a sturdy, muscular build and strong protective instincts. Also known as the Pastore Fonnese, this ancient landrace breed was traditionally used for livestock and property protection.",Working,"Ancient landrace breed from Sardinia used for centuries as a fierce guardian of flocks and property against predators and thieves. Provisionally recognized by the FCI as the Pastore Fonnese, though not recognized by major international kennel clubs.","{'id': 'LY570N51o3', 'url': 'https://cdn4.thedogapi.com/optimized/LY570N51o3.jpg', 'width': 1120, 'height': 944}",30.0,50.0,40.0,56.0,69.0,62.5,10.0,13.0,11.5
Dogue Brasileiro,2,"protective, loyal, intelligent, courageous, calm, devoted",Brazil,BR,"Medium to large, powerful mastiff-type breed developed in Brazil with strong guarding instincts, athletic build, and short coat. Known for its devotion to family and protective temperament.",Working,"Developed in Brazil in the 1970s and 1980s by crossing various breeds including Boxers, Bullmastiffs, and local breeds to create a versatile family guardian and protection dog. Not recognized by major international kennel clubs but has official breed standard in Brazil.","{'id': 'oWf6AU5Xtw', 'url': 'https://cdn4.thedogapi.com/optimized/oWf6AU5Xtw.jpg', 'width': 1184, 'height': 896}",31.0,50.0,40.5,54.0,66.0,60.0,9.0,12.0,10.5
Dogue de Bordeaux,2,"loyal, affectionate, courageous, calm, protective, devoted","Bordeaux, France",FR,"Massive, powerful French mastiff with distinctive short, wrinkled muzzle and red mask. This imposing molossoid dog combines a muscular build with a calm, loyal disposition and protective temperament.",Working,"One of the oldest French breeds and ancient molossoid type dating to 14th century. Traditionally used for guarding, pulling carts, and big game hunting. Nearly extinct after World Wars but restored by dedicated breeders and standardized in 19th century.","{'id': 'ozM2Ca6Plu', 'url': 'https://cdn4.thedogapi.com/optimized/ozM2Ca6Plu.jpg', 'width': 1168, 'height': 912}",45.0,64.0,54.5,58.0,69.0,63.5,5.0,8.0,6.5
Donggyeongi,2,"friendly, gentle, alert, intelligent, loyal, courageous, adaptable","Gyeongju, South Korea",KR,"A medium-sized, spitz-type dog native to Korea, characterized by its naturally short or bobbed tail, alert expression, and gentle, friendly disposition",Spitz,"An ancient indigenous Korean breed from the Silla Dynasty period, originating in Gyeongju. Primarily used for hunting and valued for companionship and as a guard dog for centuries. The breed faced near extinction but was revived through dedicated conservation efforts and was designated a Korean National Treasure in 2012. Recognized as a Korean cultural heritage breed but not by major international kennel clubs.","{'id': 'NscEbOcOhw', 'url': 'https://cdn4.thedogapi.com/optimized/NscEbOcOhw.jpg', 'width': 1376, 'height': 768}",14.0,18.0,16.0,45.0,51.0,48.0,12.0,15.0,13.5
Dorkie,2,"affectionate, intelligent, playful, alert, loyal, courageous",United States,US,"Small designer crossbreed combining Dachshund and Yorkshire Terrier traits with compact body and variable coat type. Known for spirited and affectionate personality, though appearance can vary significantly depending on traits inherited from each parent.",Mixed,Modern designer crossbreed developed in the late 20th century by intentionally breeding Dachshunds and Yorkshire Terriers in the United States to create a small companion dog combining traits from both parents. Not recognized by major kennel clubs like AKC or FCI.,"{'id': 'ItnmtVKFTJ', 'url': 'https://cdn4.thedogapi.com/optimized/ItnmtVKFTJ.jpg', 'width': 1408, 'height': 768}",2.0,5.5,3.75,13.0,23.0,18.0,11.0,16.0,13.5
Doxiepoo,2,"intelligent, playful, affectionate, loyal, alert",United States,US,"Small to medium designer crossbreed between a Dachshund and a Poodle, known for its variable appearance and intelligent, playful nature combining traits from both parent breeds",Mixed,Modern designer crossbreed developed in the United States by crossing a Dachshund and typically a Miniature Poodle to create a low-shedding companion dog combining traits from both parent breeds. Not recognized by major kennel clubs as a standardized breed,"{'id': 'zSKlgQQJys', 'url': 'https://cdn4.thedogapi.com/optimized/zSKlgQQJys.jpg', 'width': 1232, 'height': 864}",4.5,14.0,9.25,20.0,38.0,29.0,10.0,15.0,12.5
Drentse Patrijshond,2,"friendly, intelligent, loyal, gentle, energetic, alert","Drenthe province, Netherlands",NL,"Medium-sized versatile hunting dog from the Netherlands with distinctive white coat and orange/brown markings, known for pointing and retrieving abilities. This intelligent spaniel-type breed serves as both an excellent gundog and devoted family companion.",Sporting,"Ancient Dutch breed originating in the 16th century from Spioenen dogs from Spain, developed in Drenthe province as versatile farm and hunting dog for pointing, tracking and retrieving game birds. Nearly extinct after WWII but successfully revived.","{'id': 'rYOOAgdBuu', 'url': 'https://cdn4.thedogapi.com/optimized/rYOOAgdBuu.jpg', 'width': 1120, 'height': 944}",22.0,33.0,27.5,55.0,63.0,59.0,11.0,14.0,12.5
Drever,2,"alert, calm, friendly, intelligent, loyal, even-tempered, courageous",Sweden,SE,"Short-legged, long-bodied Swedish scent hound with distinctive white markings, known for endurance, keen nose, and even-tempered nature. Built for tracking deer and game over difficult terrain with robust, agile construction.",Hound,"Developed in early 20th century Sweden from German Westphalian Dachsbracke imported around 1910, refined to be slower and better suited for driving deer toward hunters. Name 'Drever' officially adopted in 1947 by Swedish Kennel Club.","{'id': 'ONKzjG4REb', 'url': 'https://cdn4.thedogapi.com/optimized/ONKzjG4REb.jpg', 'width': 1312, 'height': 816}",14.0,18.0,16.0,30.0,38.0,34.0,12.0,15.0,13.5
Dunker,2,"friendly, calm, gentle, intelligent, energetic",Norway,NO,"Medium-sized Norwegian scenthound with athletic build and distinctive harlequin, blue-merle, or marbled coat pattern, known for endurance and bred specifically for hare hunting",Hound,"Developed in Norway during the early 19th century by Captain Wilhelm Dunker, crossing Russian Harlequin Hounds with reliable local Norwegian scenthounds to create a superior hound for hunting hare on foot in challenging terrain","{'id': 'tI6IgTM8Ja', 'url': 'https://cdn4.thedogapi.com/optimized/tI6IgTM8Ja.jpg', 'width': 1168, 'height': 912}",16.0,22.0,19.0,47.0,55.0,51.0,12.0,15.0,13.5
Dutch Shepherd,2,"intelligent, loyal, alert, energetic, athletic, work-focused, independent",Netherlands,NL,"Medium-sized herding dog with athletic, muscular build and distinctive brindle coat pattern. An intelligent, versatile, and work-focused breed of Dutch origin that served as an all-purpose farm dog.",Herding,"Developed in the Netherlands as an all-purpose farm dog for herding sheep and cattle, cart-pulling, and guarding. Nearly extinct after WWII but preserved through dedicated breeding efforts. Known for its brindle coat in three varieties: short, long, and wire-haired.","{'id': 'GxmoWNpZqN', 'url': 'https://cdn4.thedogapi.com/optimized/GxmoWNpZqN.jpg', 'width': 1104, 'height': 960}",19.0,34.0,26.5,55.0,64.0,59.5,11.0,14.0,12.5
Dutch Smoushond,2,"friendly, alert, affectionate, playful, lively, intelligent",Netherlands,NL,"A small, lively terrier-type companion dog of Dutch origin, characterized by its shaggy, wiry yellow coat, cheerful expression, and friendly disposition. Originally bred as a stable ratter in 19th century Amsterdam, it is now a cherished family companion.",Non-Sporting,Developed in 19th century Amsterdam as a stable dog for controlling vermin. Nearly faced extinction after World War II but was revived through dedicated breeding program led by Mrs. H.M. Barkman van der Weel in the 1970s. Recognized by FCI and UK Kennel Club.,"{'id': '8YaLRfyVCt', 'url': 'https://cdn4.thedogapi.com/optimized/8YaLRfyVCt.jpg', 'width': 1200, 'height': 896}",8.0,11.0,9.5,33.0,42.0,37.5,12.0,15.0,13.5
East European Shepherd,2,"loyal, protective, confident, intelligent, work-focused",Soviet Union,RU,"Large, powerful working dog developed in Soviet Union from German Shepherds and local breeds. Similar to German Shepherd but larger and more cold-resistant, with a slightly elongated body built for strength and endurance in harsh climates. Possesses a noble, confident demeanor.",Working,"Developed in Soviet Union during 1930s-1950s from German Shepherds and local breeds for military, police, and border patrol duties in harsh climates","{'id': 'N3IWCOJ70f', 'url': 'https://cdn4.thedogapi.com/optimized/N3IWCOJ70f.jpg', 'width': 1296, 'height': 832}",29.0,50.0,39.5,61.0,76.0,68.5,10.0,14.0,12.0
East Siberian Laika,2,"independent, alert, intelligent, courageous, loyal, work-focused","Eastern Siberia, Russia",RU,"Medium to large rugged spitz-type hunting dog from the Siberian taiga with erect ears, curled tail, and thick double coat. Built for harsh climates with strong working drive and balanced temperament.",Spitz and Primitive Types,Developed from aboriginal spitz-type dogs by indigenous peoples of the East Siberian taiga region for hunting big game including bear and wild boar. Standardized in mid-20th century for versatile hunting abilities and adaptability to harsh climates.,"{'id': 'MKcOaZZgKR', 'url': 'https://cdn4.thedogapi.com/optimized/MKcOaZZgKR.jpg', 'width': 1200, 'height': 896}",16.0,23.0,19.5,53.0,64.0,58.5,12.0,15.0,13.5
Ecuadorian Hairless Dog,2,"calm, alert, loyal, gentle, affectionate, intelligent, independent","Santa Elena Peninsula, Ecuador",EC,"Rare, ancient hairless landrace breed from Ecuador with medium-sized, sleek body, elegant build, and expressive features. This indigenous breed is known for its warm skin, calm demeanor, and loyalty to family.",Unknown,"Ancient indigenous landrace breed from pre-Columbian coastal Ecuador, believed to share ancestry with other South American hairless dogs. Extremely rare with limited breeding programs and preservation efforts. Not recognized by major kennel clubs but described in regional breed registries.","{'id': 'q7VUELb6Ub', 'url': 'https://cdn4.thedogapi.com/optimized/q7VUELb6Ub.jpg', 'width': 896, 'height': 1200}",9.0,16.0,12.5,36.0,46.0,41.0,10.0,12.0,11.0
English Cocker Spaniel,2,"merry, affectionate, intelligent, energetic, playful, gentle, eager to please",England,GB,"A medium-sized, merry sporting spaniel known for its silky coat, long lush ears, expressive eyes, and energetic attitude. Compact and athletic, built for endurance and agility in the field with exceptional abilities as both hunting companion and family dog.",Sporting,Developed in England from land spaniels as a specialist flushing spaniel for woodcock and other game birds. Officially separated from American Cocker Spaniel in the 1940s by breed standards.,"{'id': 'UnSc5dMSae', 'url': 'https://cdn4.thedogapi.com/optimized/UnSc5dMSae.jpg', 'width': 1264, 'height': 848}",12.0,15.5,13.75,38.0,43.0,40.5,12.0,14.0,13.0
