id,name,species_id,life_span,temperament,origin,country_code,description,breed_group,history,reference_image_id,weight,height,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years
398,Ca de Bou,2,10-12,"calm, courageous, loyal, confident, protective","Majorca, Balearic Islands, Spain",ES,"Medium-sized, powerful Molosser-type breed with distinctive muscular build and alert expression, also known as the Perro de Presa Mallorquin. Originally bred for bull-baiting with a calm yet courageous demeanor.",Working,"Ancient breed descended from Iberian Mastiff and English Bulldogs brought to the Balearic Islands. Originally used for bull-baiting and as a farm guard dog, the breed nearly faced extinction after blood sports were banned but was revived by dedicated Spanish breeders in the 20th century.",AjKOQ8Os6Q,"{'imperial': 'Male: 77-84; Female: 66-75', 'metric': 'Male: 35-38; Female: 30-34'}","{'imperial': 'Male: 21.5-23; Female: 20.5-21.75', 'metric': 'Male: 55-58; Female: 52-55'}","{'id': 'AjKOQ8Os6Q', 'url': 'https://cdn4.thedogapi.com/optimized/AjKOQ8Os6Q.jpg', 'width': 1136, 'height': 928}",30.0,38.0,34.0,52.0,58.0,55.0,10.0,12.0,11.0
65,Cairn Terrier,2,,"alert, confident, friendly, intelligent, courageous, energetic",Scotland,GB,"A small, sturdy working terrier with weather-resistant shaggy coat and alert expression, originating from the Scottish Highlands and known for its plucky, cheerful nature",Terrier,"Developed on the Isle of Skye in Scotland, one of the oldest terrier breeds. Originally used by farmers in the Scottish Highlands to hunt and flush out foxes and vermin from rock piles (cairns), which gave the breed its name. Recognized by the AKC in 1913.",AEtWWjCcLL,"{'imperial': 'Male: 14-16; Female: 13-15', 'metric': 'Male: 6-7.5; Female: 6-7'}","{'imperial': 'Male: 10-11; Female: 9.5-10.5', 'metric': 'Male: 25-28; Female: 24-27'}","{'id': 'AEtWWjCcLL', 'url': 'https://cdn4.thedogapi.com/optimized/AEtWWjCcLL.jpg', 'width': 1200, 'height': 896}",6.0,7.5,6.75,24.0,28.0,26.0,,,
400,Calupoh,2,12-14,"loyal, intelligent, alert, calm, protective, confident",Mexico,MX,"Large, athletic wolf-like breed developed in Mexico through controlled hybridization of Mexican Gray Wolves and domestic dogs. Known for their distinctive appearance, strong build, and loyal temperament, combining the genetic heritage of wolves with the trainability of domestic dogs.",Herding,"Developed in Mexico in the mid-1990s through controlled hybridization of Mexican Gray Wolves with domestic dogs, primarily German Shepherds and Alaskan Malamutes, to create a wolf-like companion breed that preserves cultural heritage while maintaining domestic dog temperament and trainability. Provisionally recognized by the FCI and the Federación Canófila Mexicana.",a23oubHWmC,"{'imperial': 'Male: 69-100; Female: 60-88', 'metric': 'Male: 31-45; Female: 27-40'}","{'imperial': 'Male: 24-29.5; Female: 22-27.5', 'metric': 'Male: 61-75; Female: 56-70'}","{'id': 'a23oubHWmC', 'url': 'https://cdn4.thedogapi.com/optimized/a23oubHWmC.jpg', 'width': 736, 'height': 1456}",27.0,45.0,36.0,56.0,75.0,65.5,12.0,14.0,13.0
397,Ca Mè Mallorquí,2,12-14,"alert, intelligent, energetic, loyal, work-focused","Mallorca, Balearic Islands, Spain",ES,"Medium-sized working dog from Mallorca, Spain, with a short black coat and athletic build, traditionally used for hunting and herding in Mediterranean terrain",Working,"Traditional working dog of Mallorca developed for hunting and herding, adapted to local Mediterranean terrain and climate, recognized by Spanish kennel organizations",N2yTQZXRJT,"{'imperial': 'Male: 44-55; Female: 35-44', 'metric': 'Male: 20-25; Female: 16-20'}","{'imperial': 'Male: 21-23; Female: 19-21', 'metric': 'Male: 53-58; Female: 48-53'}","{'id': 'N2yTQZXRJT', 'url': 'https://cdn4.thedogapi.com/optimized/N2yTQZXRJT.jpg', 'width': 1520, 'height': 704}",16.0,25.0,20.5,48.0,58.0,53.0,12.0,14.0,13.0
401,Campeiro Bulldog,2,10-12,"loyal, protective, courageous, calm, work-focused",Brazil,BR,"A powerful, medium-sized Brazilian bulldog breed with muscular, athletic build, broad chest, and short coat. Historically developed for cattle work on ranches with strong work ethic and alert expression.",Working,"Descended from Old English Bulldogs brought to southern Brazil by European immigrants in the 19th century. Developed for ranch work, specifically for subduing and controlling cattle. After facing near extinction, the breed was revived through dedicated conservation efforts.",Q0vTbsbprE,"{'imperial': 'Male: 77-99; Female: 66-88', 'metric': 'Male: 35-45; Female: 30-40'}","{'imperial': 'Male: 19-22; Female: 18-21', 'metric': 'Male: 48-56; Female: 46-54'}","{'id': 'Q0vTbsbprE', 'url': 'https://cdn4.thedogapi.com/optimized/Q0vTbsbprE.jpg', 'width': 976, 'height': 1088}",30.0,45.0,37.5,46.0,56.0,51.0,10.0,12.0,11.0
66,Canaan Dog,2,12-15,"alert, intelligent, loyal, independent, protective, confident",Israel,IL,"Medium-sized primitive spitz-type pariah dog with erect ears, wedge-shaped head, and bushy tail carried curled over the back, known for natural survival instincts and versatility as herder and guardian",Herding,"Ancient pariah dog from the land of Canaan that survived for thousands of years in the wild. In the 1930s, Dr. Rudolphina Menzel began redomesticating them for use as guard and service dogs. Recognized by AKC in 1997 and is the national dog of Israel.",ONmucF2QTk,"{'imperial': 'Male: 45-55; Female: 35-45', 'metric': 'Male: 20-25; Female: 16-20'}","{'imperial': 'Male: 20-24; Female: 19-23', 'metric': 'Male: 51-61; Female: 48-58'}","{'id': 'ONmucF2QTk', 'url': 'https://cdn4.thedogapi.com/optimized/ONmucF2QTk.jpg', 'width': 1232, 'height': 864}",16.0,25.0,20.5,48.0,61.0,54.5,12.0,15.0,13.5
404,Canadian Eskimo Dog,2,10-15,"alert, loyal, intelligent, courageous, independent, work-focused",Canadian Arctic,CA,"A powerful, Spitz-type working dog of the Arctic with thick double coat and imposing stature, known for exceptional endurance in sledding and hunting work. This primitive breed combines strength with hardy Arctic adaptation.",Working,"Ancient aboriginal breed used by the Inuit people of the Canadian Arctic for thousands of years as a multi-purpose working dog for sledding, transportation and hunting. Nearly extinct with introduction of snowmobiles but saved through dedicated preservation and revival efforts.",0nRTu0HmWf,"{'imperial': 'Male: 66-88; Female: 40-66', 'metric': 'Male: 30-40; Female: 18-30'}","{'imperial': 'Male: 23-27.5; Female: 20-23.5', 'metric': 'Male: 58-70; Female: 50-60'}","{'id': '0nRTu0HmWf', 'url': 'https://cdn4.thedogapi.com/optimized/0nRTu0HmWf.jpg', 'width': 1136, 'height': 928}",18.0,40.0,29.0,50.0,70.0,60.0,10.0,15.0,12.5
402,Can de Chira,2,11-14,"intelligent, energetic, loyal, alert, work-focused","Aragon, Spain",ES,"A medium-sized, agile, and rustic traditional Spanish herding dog from the Aragon region with a weather-resistant double coat and energetic temperament, prized for its intelligence and ability to manage livestock in mountainous terrain",Herding,"Traditional Aragonese shepherd dog from the Pyrenees mountains valued for cattle and sheep herding. Its name derives from herding 'chiras,' a local sheep breed. The breed faced near extinction but is undergoing recovery thanks to efforts by the Club del Can de Chira and recognition as a Canine Ethnic Group by the Real Sociedad Canina de España.",KOmEYYELNR,"{'imperial': 'Male: 35-44; Female: 26.5-35', 'metric': 'Male: 16-20; Female: 12-16'}","{'imperial': 'Male: 16.5-18.5; Female: 15-17', 'metric': 'Male: 42-47; Female: 38-43'}","{'id': 'KOmEYYELNR', 'url': 'https://cdn4.thedogapi.com/optimized/KOmEYYELNR.jpg', 'width': 1024, 'height': 1024}",12.0,20.0,16.0,38.0,47.0,42.5,11.0,14.0,12.5
403,Can de Palleiro,2,12-14,"intelligent, loyal, protective, work-focused, alert","Galicia, Spain",ES,"A medium-to-large, rustic herding and guarding dog of lupoid (wolf-like) appearance, native to the Galicia region of Spain. Known for its sturdy build, weather-resistant double coat, balanced temperament, and versatility as an all-purpose farm dog.",Herding,"Ancient Iberian landrace breed from northwestern Spain, traditionally used as an all-purpose farm dog for herding cattle, guarding property, and livestock management. Maintained genetic purity through geographic isolation but faced near extinction by late 20th century. Subject of successful recovery program since late 1990s and recognized by Spain's royal kennel club (RSCE).",kLMiFtPQMj,"{'imperial': 'Male: 66-77; Female: 55-66', 'metric': 'Male: 30-35; Female: 25-30'}","{'imperial': 'Male: 23-25.5; Female: 21.5-24', 'metric': 'Male: 58-65; Female: 53-61'}","{'id': 'kLMiFtPQMj', 'url': 'https://cdn4.thedogapi.com/optimized/kLMiFtPQMj.jpg', 'width': 1200, 'height': 896}",25.0,35.0,30.0,53.0,65.0,59.0,12.0,14.0,13.0
67,Cane Corso,2,9-12,"confident, protective, intelligent, loyal, affectionate",Italy,IT,"Large, powerful Italian mastiff-type dog with muscular, athletic build and confident demeanor. This intelligent and majestic breed was historically used as a guardian and hunter, known for its loyalty to family.",Working,"Ancient Italian breed descended from Roman Molossian war dogs, developed as a versatile farmhand, guardian, and hunter of large game. The breed nearly faced extinction but was revived by enthusiasts in the 1970s.",r15m-lc4m,"{'imperial': 'Male: 99-110; Female: 88-99', 'metric': 'Male: 45-50; Female: 40-45'}","{'imperial': 'Male: 25-27.5; Female: 23.5-26', 'metric': 'Male: 64-70; Female: 60-66'}","{'id': 'r15m-lc4m', 'url': 'https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg', 'width': 645, 'height': 380}",40.0,50.0,45.0,60.0,70.0,65.0,9.0,12.0,10.5
405,Cane di Oropa,2,12-15,"loyal, intelligent, energetic, work-focused, alert, devoted","Biellese Alps, Piedmont (Oropa Valley), Italy",IT,"Medium-sized herding dog from the Italian Biellese Alps with a rustic appearance, strong build, and merle coat. Known for its mountain working heritage and keen, energetic temperament suited for flock management.",Herding,Ancient pastoral dog native to the Biellese Alps and Oropa Valley in Italy's Piedmont region. Traditionally used by local shepherds for centuries to manage sheep and cattle in mountain terrain. The breed faced extinction before preservation efforts by the Associazione Amici del Cane di Oropa breed club.,6eetrxropw,"{'imperial': 'Male: 44-66; Female: 37-60', 'metric': 'Male: 20-30; Female: 17-27'}","{'imperial': 'Male: 19-22; Female: 18-21', 'metric': 'Male: 48-56; Female: 45-54'}","{'id': '6eetrxropw', 'url': 'https://cdn4.thedogapi.com/optimized/6eetrxropw.jpg', 'width': 1120, 'height': 944}",17.0,30.0,23.5,45.0,56.0,50.5,12.0,15.0,13.5
406,Cane Paratore,2,10-15,"intelligent, energetic, loyal, protective, work-focused, alert","Piedmont Alps, Italy",IT,"A medium-sized, rustic Italian herding dog from the Piedmont Alps, known for its agility, intelligence, and typically merle coat. This athletic breed combines herding instincts with protective qualities, traditionally used for managing livestock in mountainous terrain.",Herding,"A landrace breed developed over centuries by shepherds in the western Italian Alps (Piedmont) to manage sheep and cattle in mountainous terrain. Valued for its hardiness and working ability, the breed is undergoing official recognition by the Italian Kennel Club (ENCI). Also known as the Pastore d'Oropa.",3Wpx3POYfd,"{'imperial': 'Male: 39.7-66.1; Female: 39.7-55.1', 'metric': 'Male: 18-30; Female: 18-25'}","{'imperial': 'Male: 18.5-21.7; Female: 17.7-21', 'metric': 'Male: 47-55; Female: 45-53'}","{'id': '3Wpx3POYfd', 'url': 'https://cdn4.thedogapi.com/optimized/3Wpx3POYfd.jpg', 'width': 1200, 'height': 896}",18.0,30.0,24.0,45.0,55.0,50.0,10.0,15.0,12.5
407,Cantabrian Water Dog,2,12-14,"loyal, intelligent, work-focused, energetic, alert, devoted","Cantabria, Spain",ES,"A rustic, medium-sized, and athletic water dog from the Cantabria region of northern Spain, characterized by a curly, woolly, waterproof coat. Originally bred for fishing and water work, this ancient breed is known for its loyalty, work-focused nature, and exceptional aptitude for swimming and retrieving.",Sporting,"An ancient landrace breed from the coastal Cantabrian region of northern Spain, historically used by fishermen for water work, retrieving fish and gear, guarding boats, and assisting with nets. Nearly extinct but being revived through conservation efforts, officially recognized by the Real Sociedad Canina de España (RSCE) in 2011.",d5YGkeJFYl,"{'imperial': 'Male: 33-50; Female: 26-44', 'metric': 'Male: 15-23; Female: 12-20'}","{'imperial': 'Male: 16.5-19.5; Female: 15.5-18.5', 'metric': 'Male: 42-50; Female: 40-47'}","{'id': 'd5YGkeJFYl', 'url': 'https://cdn4.thedogapi.com/optimized/d5YGkeJFYl.jpg', 'width': 1280, 'height': 832}",12.0,23.0,17.5,40.0,50.0,45.0,12.0,14.0,13.0
408,Cão de Gado Transmontano,2,10-12,"protective, independent, calm, loyal, confident, courageous","Trás-os-Montes region, Portugal",PT,"Very large, powerful molossoid-type livestock guardian dog with thick double coat, bred in the mountainous regions of northern Portugal to protect flocks from predators with a calm yet imposing and rustic demeanor",Working,"Ancient Iberian mastiff-type breed developed in the remote Trás-os-Montes region of northern Portugal, used for centuries by shepherds to guard flocks against wolves and other predators in harsh mountain conditions. Recognized by the FCI for its courage, loyalty, and ability to work independently.",Z4dSbHTVEA,"{'imperial': 'Male: 110-165; Female: 88-132', 'metric': 'Male: 50-75; Female: 40-60'}","{'imperial': 'Male: 29.5-33; Female: 26.8-30.7', 'metric': 'Male: 75-84; Female: 68-78'}","{'id': 'Z4dSbHTVEA', 'url': 'https://cdn4.thedogapi.com/optimized/Z4dSbHTVEA.jpg', 'width': 1152, 'height': 928}",40.0,75.0,57.5,68.0,84.0,76.0,10.0,12.0,11.0
399,Ca Rater Mallorquí,2,12-15,"alert, energetic, intelligent, loyal, courageous","Mallorca, Balearic Islands, Spain",ES,"Small, agile terrier-like breed from Mallorca with a compact, athletic build and smooth short coat. Known for intelligence, alertness, and exceptional skill in hunting rats and other vermin.",Terrier,"Developed on the Spanish island of Mallorca specifically for controlling rats and other vermin in farms, stables, and households. Used for centuries due to its small size and agility to pursue prey into tight spaces. Provisionally recognized by the FCI and recognized as a native Spanish breed.",onEX8ezaJx,"{'imperial': 'Male: 22-33; Female: 18-29', 'metric': 'Male: 10-15; Female: 8-13'}","{'imperial': 'Male: 12-15; Female: 11-14', 'metric': 'Male: 30-38; Female: 29-36'}","{'id': 'onEX8ezaJx', 'url': 'https://cdn4.thedogapi.com/optimized/onEX8ezaJx.jpg', 'width': 1200, 'height': 896}",8.0,15.0,11.5,29.0,38.0,33.5,12.0,15.0,13.5
68,Cardigan Welsh Corgi,2,12-15,"affectionate, loyal, intelligent, alert, adaptable","Cardiganshire, Wales",GB,"Low-set, sturdily built herding dog with a long body, fox-like brushy tail, and rounded ears, known for intelligence and versatility",Herding,"One of the oldest herding breeds, believed brought to Wales by Celtic tribes around 1200 BC, developed as versatile farm dogs for cattle herding and property guarding",SyXN-e9NX,"{'imperial': 'Male: 30-38; Female: 25-34', 'metric': 'Male: 14-17; Female: 11-15'}","{'imperial': '10.5-12.5', 'metric': '27-32'}","{'id': 'SyXN-e9NX', 'url': 'https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg', 'width': 800, 'height': 600}",11.0,17.0,14.0,27.0,32.0,29.5,12.0,15.0,13.5
409,Carea Leonés,2,12-14,"intelligent, loyal, work-focused, energetic, alert, athletic","León Province, Spain",ES,"Medium-sized, rustic Spanish sheepdog of the lupoid type with a dense, weather-resistant coat and strong herding instincts. Known for intelligence, agility, and alert, expressive demeanor in mountainous terrain.",Herding,"Ancient traditional herding dog from León Province in northwest Spain, used for centuries to manage and guide flocks, particularly Merino sheep. Highly valued for hardiness, intelligence, and unwavering work ethic in mountainous terrain and rural environments.",h7fcj4eeRi,"{'imperial': 'Male: 50-70; Female: 40-60', 'metric': 'Male: 23-32; Female: 18-27'}","{'imperial': 'Male: 20-24; Female: 18-22', 'metric': 'Male: 51-61; Female: 46-56'}","{'id': 'h7fcj4eeRi', 'url': 'https://cdn4.thedogapi.com/optimized/h7fcj4eeRi.jpg', 'width': 976, 'height': 1088}",18.0,32.0,25.0,46.0,61.0,53.5,12.0,14.0,13.0
410,Carolina Dog,2,12-15,"alert, intelligent, independent, loyal, adaptable, gentle",Southeastern United States,US,"Medium-sized, athletic primitive breed with sand-colored coat and erect ears, resembling a dingo or small wolf with ancient pariah dog characteristics",Hound,Primitive landrace breed descended from ancient dogs that accompanied early human migrations across the Bering land bridge. Discovered living as free-roaming population in cypress swamps of South Carolina and Georgia by Dr. I. Lehr Brisbin Jr. Recognized by UKC and seeking AKC recognition.,rwf9rF0e9Z,"{'imperial': '30-55', 'metric': '14-25'}","{'imperial': 'Male: 18-20; Female: 17-19', 'metric': 'Male: 46-51; Female: 43-48'}","{'id': 'rwf9rF0e9Z', 'url': 'https://cdn4.thedogapi.com/optimized/rwf9rF0e9Z.jpg', 'width': 800, 'height': 1344}",14.0,25.0,19.5,43.0,51.0,47.0,12.0,15.0,13.5
411,Carpathian Shepherd Dog,2,12-14,"loyal, protective, courageous, calm, independent, alert, devoted","Carpathian Mountains, Romania",RO,"Large, powerful livestock guardian dog native to the Carpathian Mountains with a wolf-like appearance and thick double coat. Known for its courageous and protective nature, this robust mountain dog was developed for guarding sheep flocks from predators including wolves and bears.",Working,Ancient breed developed over centuries by Romanian shepherds in the Carpathian Mountains for protecting sheep flocks from predators. First breed standard written in 1934 by the National Institute for Animal Husbandry and officially recognized by the FCI in 2005.,c3a2TB0nzo,"{'imperial': 'Male: 77-99; Female: 66-80', 'metric': 'Male: 35-45; Female: 30-36'}","{'imperial': 'Male: 25.5-29; Female: 23-27', 'metric': 'Male: 65-73; Female: 59-68'}","{'id': 'c3a2TB0nzo', 'url': 'https://cdn4.thedogapi.com/optimized/c3a2TB0nzo.jpg', 'width': 1152, 'height': 928}",30.0,45.0,37.5,59.0,73.0,66.0,12.0,14.0,13.0
412,Castro Laboreiro Dog,2,11-13,"loyal, protective, intelligent, independent, alert, courageous","Castro Laboreiro region, Portugal",PT,"An ancient, large, and powerful Portuguese livestock guardian dog with a distinctive wolf-like appearance and movement. This rustic mountain breed is known for its formidable and unique graduated bark that starts low and rises in pitch.",Working,"Ancient Portuguese livestock guardian breed from the Peneda-Gerês mountains of northern Portugal. Developed to protect herds from wolves and other predators, it is one of the oldest and rarest breeds on the Iberian Peninsula.",Co9d1Ojqn6,"{'imperial': 'Male: 66-88; Female: 55-77', 'metric': 'Male: 30-40; Female: 25-35'}","{'imperial': 'Male: 23-25; Female: 21.5-23.5', 'metric': 'Male: 58-63; Female: 55-60'}","{'id': 'Co9d1Ojqn6', 'url': 'https://cdn4.thedogapi.com/optimized/Co9d1Ojqn6.jpg', 'width': 1200, 'height': 896}",25.0,40.0,32.5,55.0,63.0,59.0,11.0,13.0,12.0
69,Catahoula Leopard Dog,2,10-14,"independent, intelligent, loyal, protective, energetic, work-focused","Louisiana, United States",US,"Medium to large, athletic herding and hunting breed known for its distinctive spotted or merle coat patterns, striking heterochromatic (glass) eyes, and strong work ethic. This versatile working dog combines intelligence with independence.",Herding,Developed in Northern Louisiana from Native American dogs crossed with Spanish and French settlers' dogs for hunting feral hogs and herding cattle. Named after Catahoula Parish and designated as the official state dog of Louisiana.,Q1BZEKatoN,"{'imperial': 'Male: 65-90; Female: 50-65', 'metric': 'Male: 29-41; Female: 23-29'}","{'imperial': 'Male: 22-26; Female: 20-24', 'metric': 'Male: 56-66; Female: 51-61'}","{'id': 'Q1BZEKatoN', 'url': 'https://cdn4.thedogapi.com/optimized/Q1BZEKatoN.jpg', 'width': 1184, 'height': 896}",23.0,41.0,32.0,51.0,66.0,58.5,10.0,14.0,12.0
413,Catalan Sheepdog,2,12-14,"intelligent, loyal, energetic, protective, courageous","Catalonia, Spain",ES,"Medium-sized, agile herding dog from the Catalan Pyrenees with long shaggy coat, distinctive beard and mustache, and alert expression. Known for intelligence, courage, and watchful nature as a versatile herding breed.",Herding,Ancient herding breed developed in the Catalan Pyrenees for managing sheep and goats. Used as messengers and sentinels during Spanish Civil War. Nearly extinct afterward but restored through dedicated breeding programs in the 1970s.,3xpOu3Wiyg,"{'imperial': 'Male: 44-61; Female: 37-46', 'metric': 'Male: 20-28; Female: 17-21'}","{'imperial': 'Male: 18.5-21.5; Female: 17.5-20.5', 'metric': 'Male: 47-55; Female: 45-53'}","{'id': '3xpOu3Wiyg', 'url': 'https://cdn4.thedogapi.com/optimized/3xpOu3Wiyg.jpg', 'width': 1152, 'height': 928}",17.0,28.0,22.5,45.0,55.0,50.0,12.0,14.0,13.0
269,Caucasian Shepherd Dog,2,10-12,"protective, independent, courageous, loyal, confident",Caucasus Mountains,RU,"Giant, powerfully built livestock guardian breed with dense, weather-resistant double coat and imposing presence. Bred to be a formidable guardian in harsh mountain conditions with a courageous, confident demeanor.",Working,"Ancient breed originating in the Caucasus Mountain region, used for centuries to protect livestock from large predators like wolves and bears. Standardized by Soviet cynologists and used as military and prison guard dogs.",dtXjNGJiGQ,"{'imperial': 'Male: 110-170; Female: 99-150', 'metric': 'Male: 50-77; Female: 45-68'}","{'imperial': 'Male: 27-30; Female: 25-28', 'metric': 'Male: 68-76; Female: 64-71'}","{'id': 'dtXjNGJiGQ', 'url': 'https://cdn4.thedogapi.com/optimized/dtXjNGJiGQ.jpg', 'width': 1136, 'height': 944}",45.0,77.0,61.0,64.0,76.0,70.0,10.0,12.0,11.0
71,Cavalier King Charles Spaniel,2,12-15,"affectionate, gentle, friendly, playful, eager to please, adaptable",United Kingdom,GB,"Small, elegant toy spaniel with silky coat, large expressive eyes, and noble appearance, known for its gentle expression and affectionate temperament, equally at home as a lap dog or active companion",Toy,"Named after King Charles II who favored the breed, descended from toy spaniels depicted in 16th-18th century British court paintings. The modern breed was revived in the 1920s by enthusiasts seeking to restore the longer-nosed type seen in old portraits",fM3yF6cLB1,"{'imperial': '13-18', 'metric': '6-8'}","{'imperial': '12-13', 'metric': '30-33'}","{'id': 'fM3yF6cLB1', 'url': 'https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg', 'width': 1216, 'height': 880}",6.0,8.0,7.0,30.0,33.0,31.5,12.0,15.0,13.5
72,Cavapom,2,12-16,"friendly, affectionate, playful, intelligent, outgoing, alert",United States,US,"Small, lively companion dog created by crossing a Cavalier King Charles Spaniel and Pomeranian, known for its affectionate nature, fluffy plush coat, and friendly demeanor that combines the gentle nature of the Cavalier with the compact size of the Pomeranian",Mixed,"A modern designer crossbreed developed in the United States by crossing a Cavalier King Charles Spaniel with Pomeranian to create a small companion dog combining the gentle nature of the Cavalier with the lively, fluffy appearance of the Pomeranian. Gained popularity in the late 20th and early 21st centuries",RtPH6hO5gs,"{'imperial': '7-20', 'metric': '3-9'}","{'imperial': '7-13', 'metric': '18-33'}","{'id': 'RtPH6hO5gs', 'url': 'https://cdn4.thedogapi.com/optimized/RtPH6hO5gs.jpg', 'width': 1264, 'height': 848}",3.0,9.0,6.0,18.0,33.0,25.5,12.0,16.0,14.0
73,Cavapoo,2,10-15,"affectionate, intelligent, friendly, playful, gentle, outgoing",Australia,AU,"Small companion crossbreed combining Cavalier King Charles Spaniel and Poodle traits, known for its soft wavy or curly coat, friendly nature, and affectionate temperament",Mixed,"Modern designer crossbreed first intentionally developed in Australia in the 1990s by crossing Cavalier King Charles Spaniel with Poodle, aiming to create a friendly family companion with low-shedding coat suitable for allergy sufferers",Bh2vP5FxPP,"{'imperial': '12-25', 'metric': '5-11'}","{'imperial': '9-14', 'metric': '23-36'}","{'id': 'Bh2vP5FxPP', 'url': 'https://cdn4.thedogapi.com/optimized/Bh2vP5FxPP.jpg', 'width': 1264, 'height': 848}",5.0,11.0,8.0,23.0,36.0,29.5,10.0,15.0,12.5
414,Central Asian Shepherd Dog,2,12-15,"independent, protective, confident, courageous, calm",Central Asia,RU,"An ancient, large, and powerful livestock guardian breed with massive bone structure and powerful muscles. Known for its courage, confidence, territorial nature, and natural protective instincts developed over thousands of years.",Working,"Ancient breed originating over 5,000 years ago in the geographical area between the Ural Mountains, the Caspian Sea, Asia Minor, and Northwest China. Shaped by natural selection in harsh climates and constant struggle against predators, developed to guard livestock and property across Central Asian regions.",56j27IEHO8,"{'imperial': 'Male: 110-176; Female: 88-143', 'metric': 'Male: 50-80; Female: 40-65'}","{'imperial': 'Male: 27-32; Female: 24-27', 'metric': 'Male: 69-81; Female: 61-69'}","{'id': '56j27IEHO8', 'url': 'https://cdn4.thedogapi.com/optimized/56j27IEHO8.jpg', 'width': 1168, 'height': 912}",40.0,80.0,60.0,61.0,81.0,71.0,12.0,15.0,13.5
415,Český fousek,2,12-15,"intelligent, loyal, energetic, devoted, eager to please, work-focused",Czech Republic,CZ,"Medium-sized, wire-haired versatile pointing dog of noble appearance with distinctive beard, known for endurance, adaptability, and devotion as a hunting companion",Sporting,"One of the oldest Czech hunting breeds, the Český fousek nearly became extinct after the World Wars but was restored in the 1960s through careful breeding programs using remaining typical specimens",nsVY06PMY4,"{'imperial': 'Male: 61-75; Female: 48-62', 'metric': 'Male: 28-34; Female: 22-28'}","{'imperial': 'Male: 23.5-26; Female: 22.5-24.5', 'metric': 'Male: 60-66; Female: 57-62'}","{'id': 'nsVY06PMY4', 'url': 'https://cdn4.thedogapi.com/optimized/nsVY06PMY4.jpg', 'width': 1008, 'height': 1056}",22.0,34.0,28.0,57.0,66.0,61.5,12.0,15.0,13.5
74,Cesky Terrier,2,12-15,"calm, gentle, playful, intelligent, loyal, devoted",Czech Republic,CZ,"A well-muscled, short-legged hunting terrier with a silky, wavy coat and natural drop ears, known for its calm and gentle temperament compared to other terriers. Bred for hunting in Bohemian forests, this less-active and quieter terrier was developed to work effectively in packs.",Terrier,"Developed in the mid-20th century by Czech breeder František Horák, who crossed Scottish Terriers with Sealyham Terriers to create a tenacious but more tractable hunting terrier for the forests of Bohemia. Recognized by the FCI in 1963 and AKC in 2011.",UvhPeERjsc,"{'imperial': '14-24', 'metric': '6-11'}","{'imperial': '10-13', 'metric': '25-33'}","{'id': 'UvhPeERjsc', 'url': 'https://cdn4.thedogapi.com/optimized/UvhPeERjsc.jpg', 'width': 1120, 'height': 944}",6.0,11.0,8.5,25.0,33.0,29.0,12.0,15.0,13.5
75,Chart Polski,2,10-12,"independent, loyal, alert, calm, confident, courageous, protective, intelligent",Poland,PL,"Large, powerful, and muscular sighthound with an elegant build, short coat, and dignified appearance, known for its speed, courage, stamina, and reserved nature. Bred for hunting in Polish terrain with great determination and character.",Hound,Ancient Polish sighthound breed with origins dating back to the 13th century used by nobility for hunting hare fox deer boar and wolves. Nearly extinct after WWII but successfully revived through careful breeding programs in the latter half of the 20th century.,JX7oc0IPtq,"{'imperial': 'Male: 61-95; Female: 55-82', 'metric': 'Male: 28-43; Female: 25-37'}","{'imperial': 'Male: 27.5-31.5; Female: 26.8-30.5', 'metric': 'Male: 70-80; Female: 68-78'}","{'id': 'JX7oc0IPtq', 'url': 'https://cdn4.thedogapi.com/optimized/JX7oc0IPtq.jpg', 'width': 1280, 'height': 832}",25.0,43.0,34.0,68.0,80.0,74.0,10.0,12.0,11.0
76,Chesapeake Bay Retriever,2,10-13,"intelligent, courageous, loyal, protective, confident","Maryland, United States",US,"A powerful, muscular gundog with distinctive wavy, waterproof double coat and amber eyes, bred for retrieving waterfowl in the harsh conditions of the Chesapeake Bay",Sporting,Developed in the 19th century along the Chesapeake Bay from two shipwrecked Newfoundland-type puppies (Sailor and Canton) bred with local retrievers to create a water gundog capable of withstanding icy conditions and retrieving waterfowl in harsh environments,JjT27ESYT,"{'imperial': 'Male: 65-80; Female: 55-70', 'metric': 'Male: 29-36; Female: 25-32'}","{'imperial': 'Male: 23-26; Female: 21-24', 'metric': 'Male: 58-66; Female: 53-61'}","{'id': 'JjT27ESYT', 'url': 'https://cdn2.thedogapi.com/images/JjT27ESYT.jpg', 'width': 1280, 'height': 1920}",25.0,36.0,30.5,53.0,66.0,59.5,10.0,13.0,11.5
